experiment_id,N_Tx,detector,point_kind,threshold_variable,threshold_value,P_FA,P_miss
figures__ts0p2__memERFC3p6__pHit0p75__nbits100000__ntx25to250step25__seed2026__vmt25__svmt25,100,fixed_threshold,decision_boundary,n_rx,26.5,0.0048926014319809,0.9085478680611424
figures__ts0p2__memERFC3p6__pHit0p75__nbits100000__ntx25to250step25__seed2026__vmt25__svmt25,100,fixed_threshold,decision_boundary,n_rx,27.5,0.0029236276849642,0.9297666934835076
figures__ts0p2__memERFC3p6__pHit0p75__nbits100000__ntx25to250step25__seed2026__vmt25__svmt25,100,fixed_threshold,decision_boundary,n_rx,28.5,0.0018695306284805,0.9488334674175384
figures__ts0p2__memERFC3p6__pHit0p75__nbits100000__ntx25to250step25__seed2026__vmt25__svmt25,100,fixed_threshold,decision_boundary,n_rx,29.5,0.0011137629276054,0.9630128720836686
figures__ts0p2__memERFC3p6__pHit0p75__nbits100000__ntx25to250step25__seed2026__vmt25__svmt25,100,fixed_threshold,decision_boundary,n_rx,30.5,0.0006364359586316,0.9736926790024136
figures__ts0p2__memERFC3p6__pHit0p75__nbits100000__ntx25to250step25__seed2026__vmt25__svmt25,100,fixed_threshold,decision_boundary,n_rx,31.5,0.0003778838504375,0.9811544650040224
figures__ts0p2__memERFC3p6__pHit0p75__nbits100000__ntx25to250step25__seed2026__vmt25__svmt25,100,fixed_threshold,decision_boundary,n_rx,32.5,0.0002585521081941,0.986886564762671
figures__ts0p2__memERFC3p6__pHit0p75__nbits100000__ntx25to250step25__seed2026__vmt25__svmt25,100,fixed_threshold,decision_boundary,n_rx,33.5,0.0001392203659506,0.9909493161705552
figures__ts0p2__memERFC3p6__pHit0p75__nbits100000__ntx25to250step25__seed2026__vmt25__svmt25,100,fixed_threshold,decision_boundary,n_rx,34.5,5.966587112171838e-05,0.9938053097345132
figures__ts0p2__memERFC3p6__pHit0p75__nbits100000__ntx25to250step25__seed2026__vmt25__svmt25,100,fixed_threshold,decision_boundary,n_rx,35.5,3.977724741447892e-05,0.9960780370072404
